# time(ps)  pca.eig-1  pca.eig-2  pca.residual  metad.bias(kJ/mol)  Rg(nm)  SASA(nm^2)
0.000000 0.000000 0.000000 0.000250 112.216152 2.941440 358.426000
1.000000 -0.000060 -0.000021 0.098205 106.619816 2.989490 383.195000
2.000000 -0.000075 -0.000001 0.112185 104.844964 2.995260 388.487000
3.000000 -0.000070 -0.000045 0.126118 104.438382 3.001270 387.178000
4.000000 -0.000060 -0.000055 0.127370 105.751355 2.993740 386.370000
5.000000 -0.000056 -0.000051 0.131675 106.434806 2.986940 384.350000
6.000000 -0.000050 -0.000081 0.137162 106.483446 2.990310 383.165000
7.000000 -0.000055 -0.000098 0.145724 105.218179 2.993210 385.261000
8.000000 -0.000022 -0.000119 0.147625 109.409365 2.992250 382.834000
9.000000 0.000003 -0.000151 0.151052 112.185338 2.993640 388.846000
10.000000 0.000025 -0.000150 0.154791 114.127345 2.995520 390.338000
11.000000 0.000013 -0.000136 0.157029 113.356588 2.987580 385.947000
12.000000 0.000027 -0.000140 0.154703 114.251543 2.989180 388.765000
13.000000 0.000013 -0.000142 0.159397 113.301492 2.992290 388.843000
14.000000 0.000021 -0.000134 0.163395 113.974777 2.987960 389.575000
15.000000 0.000002 -0.000143 0.161657 112.211972 2.984980 390.794000
16.000000 0.000027 -0.000145 0.164519 114.274325 2.984710 395.086000
17.000000 0.000023 -0.000137 0.165087 114.047801 2.988220 391.471000
18.000000 -0.000002 -0.000145 0.167447 111.632298 2.995500 392.364000
19.000000 -0.000002 -0.000177 0.168964 111.011996 2.997630 393.456000
20.000000 0.000031 -0.000183 0.170813 114.027704 2.992960 390.056000
21.000000 0.000032 -0.000192 0.169946 113.848049 2.995360 391.116000
22.000000 0.000025 -0.000209 0.172825 112.979597 2.994800 394.415000
23.000000 0.000026 -0.000213 0.169687 112.946607 2.992160 391.591000
24.000000 0.000030 -0.000238 0.172668 112.312005 2.998960 395.040000
25.000000 0.000051 -0.000277 0.174765 111.536708 2.993990 392.514000
26.000000 0.000065 -0.000258 0.176041 112.647392 2.992370 391.735000
27.000000 0.000095 -0.000243 0.173294 112.907003 2.988090 394.890000
28.000000 0.000129 -0.000247 0.179967 111.743939 2.985870 390.849000
29.000000 0.000137 -0.000242 0.181555 111.482566 2.989190 394.466000
30.000000 0.000130 -0.000289 0.187321 110.763067 2.991230 394.046000
31.000000 0.000107 -0.000287 0.184824 111.590431 2.990670 392.116000
32.000000 0.000083 -0.000279 0.183028 112.036534 2.986040 391.195000
33.000000 0.000065 -0.000248 0.182370 112.988418 2.989510 393.805000
34.000000 0.000082 -0.000247 0.182935 112.984795 2.985140 389.780000
35.000000 0.000106 -0.000237 0.187025 112.747579 2.986070 393.390000
36.000000 0.000102 -0.000193 0.184974 113.179946 2.985870 392.236000
37.000000 0.000122 -0.000203 0.185007 112.506269 2.983490 390.289000
38.000000 0.000160 -0.000209 0.187234 111.085267 2.981820 394.486000
39.000000 0.000191 -0.000193 0.192359 110.841085 2.979450 392.611000
40.000000 0.000188 -0.000182 0.194699 111.002767 2.980930 394.904000
41.000000 0.000157 -0.000213 0.198746 111.111522 2.988280 391.804000
42.000000 0.000142 -0.000225 0.201675 111.525459 2.986320 396.534000
43.000000 0.000128 -0.000225 0.200867 112.101803 2.986810 394.166000
44.000000 0.000117 -0.000233 0.203320 112.459459 2.987060 396.767000
45.000000 0.000108 -0.000232 0.200975 112.767709 2.984240 390.964000
46.000000 0.000095 -0.000248 0.204531 112.816945 2.987420 392.346000
47.000000 0.000115 -0.000268 0.206954 111.866751 2.987160 388.847000
48.000000 0.000115 -0.000311 0.210242 110.558133 2.990850 395.026000
49.000000 0.000103 -0.000362 0.212141 108.515150 2.988240 392.446000
50.000000 0.000086 -0.000399 0.210785 106.416537 2.984600 391.742000
51.000000 0.000073 -0.000422 0.216996 104.753899 2.989520 393.821000
52.000000 0.000064 -0.000459 0.221464 102.493205 2.993790 394.359000
53.000000 0.000074 -0.000457 0.222112 102.866482 2.991520 395.871000
54.000000 0.000096 -0.000410 0.221586 105.875308 2.986460 390.887000
55.000000 0.000108 -0.000393 0.220534 106.793887 2.985790 395.573000
56.000000 0.000112 -0.000363 0.217001 108.308047 2.987330 394.102000
57.000000 0.000134 -0.000349 0.217288 108.304422 2.987180 394.373000
58.000000 0.000159 -0.000322 0.214503 108.404908 2.984070 389.903000
59.000000 0.000189 -0.000310 0.217266 108.032078 2.978420 393.339000
60.000000 0.000209 -0.000303 0.219142 107.924586 2.979750 391.198000
61.000000 0.000184 -0.000320 0.223184 107.776011 2.978600 395.342000
62.000000 0.000167 -0.000300 0.221625 108.852160 2.979690 391.691000
63.000000 0.000139 -0.000285 0.221692 110.463998 2.977650 392.079000
64.000000 0.000147 -0.000264 0.224319 110.630128 2.976060 392.350000
65.000000 0.000157 -0.000246 0.226769 110.628961 2.980150 392.871000
66.000000 0.000193 -0.000241 0.229613 109.926818 2.974360 391.586000
67.000000 0.000202 -0.000241 0.234321 109.820152 2.981160 396.753000
68.000000 0.000195 -0.000209 0.235674 110.558684 2.975060 398.050000
69.000000 0.000192 -0.000176 0.237018 111.066590 2.973890 396.501000
70.000000 0.000209 -0.000188 0.236830 110.793062 2.972120 396.947000
71.000000 0.000227 -0.000210 0.236853 110.054894 2.971400 395.665000
72.000000 0.000233 -0.000222 0.243600 109.643978 2.973590 396.760000
73.000000 0.000239 -0.000211 0.246342 109.662258 2.974910 392.443000
74.000000 0.000235 -0.000219 0.247212 109.624048 2.975940 396.107000
75.000000 0.000263 -0.000210 0.243498 108.456687 2.968670 394.082000
76.000000 0.000297 -0.000172 0.246917 106.902254 2.967290 397.537000
77.000000 0.000274 -0.000122 0.248690 109.029517 2.968640 395.032000
78.000000 0.000283 -0.000126 0.251636 108.479332 2.968320 393.981000
79.000000 0.000269 -0.000146 0.252417 109.056697 2.972210 398.714000
80.000000 0.000243 -0.000110 0.252621 110.776593 2.976700 395.641000
81.000000 0.000226 -0.000078 0.249787 111.531756 2.971870 395.009000
82.000000 0.000229 -0.000096 0.245999 111.342838 2.968690 390.089000
83.000000 0.000202 -0.000138 0.245308 111.418445 2.971120 396.862000
84.000000 0.000204 -0.000133 0.247142 111.455005 2.977620 394.831000
85.000000 0.000209 -0.000159 0.246814 111.187409 2.974660 394.158000
86.000000 0.000240 -0.000163 0.246718 110.366704 2.974840 397.121000
87.000000 0.000242 -0.000180 0.244880 110.028694 2.973870 398.253000
88.000000 0.000232 -0.000160 0.242811 110.683008 2.970280 390.665000
89.000000 0.000220 -0.000136 0.241373 111.263329 2.970810 396.887000
90.000000 0.000234 -0.000129 0.241579 110.950648 2.969730 396.479000
91.000000 0.000205 -0.000130 0.240133 111.471834 2.971580 397.309000
92.000000 0.000174 -0.000128 0.242447 111.339818 2.969330 396.204000
93.000000 0.000193 -0.000106 0.244822 111.557851 2.967680 395.887000
94.000000 0.000166 -0.000084 0.242523 111.219311 2.970620 396.761000
95.000000 0.000183 -0.000033 0.239429 111.504540 2.972570 399.467000
96.000000 0.000225 -0.000020 0.239501 111.826778 2.971160 395.045000
97.000000 0.000229 -0.000028 0.238759 111.695015 2.971130 397.084000
98.000000 0.000227 -0.000029 0.236388 111.741728 2.969690 393.931000
99.000000 0.000222 -0.000025 0.234939 111.842599 2.964020 397.978000
100.000000 0.000196 -0.000016 0.235920 111.818853 2.968250 393.026000
101.000000 0.000203 -0.000001 0.236858 111.972735 2.970210 397.530000
102.000000 0.000200 -0.000020 0.236179 111.862442 2.969570 397.723000
103.000000 0.000194 -0.000022 0.233246 111.772914 2.967710 395.327000
104.000000 0.000194 -0.000020 0.231707 111.766717 2.972870 397.023000
105.000000 0.000196 0.000003 0.230486 111.892448 2.972440 394.203000
106.000000 0.000197 -0.000018 0.232766 111.829190 2.973430 394.624000
107.000000 0.000241 -0.000035 0.233572 111.309194 2.969590 396.488000
108.000000 0.000257 -0.000040 0.232585 110.641790 2.971490 397.203000
109.000000 0.000265 -0.000049 0.233869 110.166200 2.969590 393.915000
110.000000 0.000274 -0.000058 0.232796 109.656490 2.971460 397.511000
111.000000 0.000290 -0.000068 0.233977 108.750309 2.968210 398.122000
112.000000 0.000335 -0.000061 0.235825 105.913556 2.968810 397.506000
113.000000 0.000321 -0.000046 0.238609 107.043197 2.967540 397.961000
114.000000 0.000325 -0.000018 0.237936 106.796594 2.963890 395.818000
115.000000 0.000349 -0.000011 0.237408 104.503894 2.965480 397.439000
116.000000 0.000340 -0.000019 0.241148 105.512464 2.969030 395.605000
117.000000 0.000340 -0.000019 0.242738 105.457064 2.965140 395.195000
118.000000 0.000342 -0.000014 0.250275 105.265857 2.964930 393.182000
119.000000 0.000331 -0.000027 0.249090 106.290702 2.964420 391.578000
120.000000 0.000286 -0.000041 0.246676 109.194953 2.965270 390.066000
121.000000 0.000277 -0.000028 0.248463 109.762991 2.966360 390.129000
122.000000 0.000307 -0.000005 0.251527 108.175253 2.968450 392.170000
123.000000 0.000293 -0.000001 0.252925 109.086602 2.969300 392.871000
124.000000 0.000297 -0.000007 0.254827 108.874117 2.969200 393.033000
125.000000 0.000302 -0.000054 0.253500 108.233436 2.964860 394.040000
126.000000 0.000302 -0.000072 0.258383 108.038142 2.962370 393.445000
127.000000 0.000314 -0.000072 0.259180 107.293451 2.958500 392.075000
128.000000 0.000298 -0.000077 0.255744 108.184064 2.960670 391.792000
129.000000 0.000297 -0.000071 0.254114 108.339197 2.958170 389.586000
130.000000 0.000319 -0.000055 0.254383 107.130481 2.957660 392.392000
131.000000 0.000335 -0.000075 0.258001 105.815323 2.958470 392.141000
132.000000 0.000332 -0.000070 0.259608 106.062214 2.958020 392.994000
133.000000 0.000353 -0.000068 0.263565 104.420444 2.954490 388.909000
134.000000 0.000379 -0.000087 0.261498 101.759213 2.951750 389.720000
135.000000 0.000375 -0.000121 0.262394 102.181495 2.953140 391.388000
136.000000 0.000363 -0.000094 0.262914 103.417579 2.955610 387.370000
137.000000 0.000357 -0.000081 0.264583 104.044576 2.957040 391.543000
138.000000 0.000388 -0.000078 0.262241 100.576987 2.952470 392.872000
139.000000 0.000444 -0.000090 0.264539 91.793463 2.946840 390.376000
140.000000 0.000456 -0.000103 0.264699 90.099341 2.951440 389.979000
141.000000 0.000433 -0.000137 0.263493 94.197449 2.954960 393.460000
142.000000 0.000361 -0.000193 0.256734 102.346770 2.961000 396.587000
143.000000 0.000320 -0.000242 0.253747 103.758318 2.960390 391.445000
144.000000 0.000290 -0.000272 0.255093 105.196637 2.958200 395.606000
145.000000 0.000283 -0.000276 0.254772 105.548378 2.956330 390.865000
146.000000 0.000302 -0.000290 0.259519 103.653823 2.958220 392.445000
147.000000 0.000311 -0.000289 0.256037 102.965752 2.960090 393.873000
148.000000 0.000308 -0.000296 0.253439 102.949601 2.958010 391.628000
149.000000 0.000294 -0.000292 0.257586 104.221845 2.962020 392.865000
150.000000 0.000322 -0.000305 0.257300 101.438980 2.960930 389.244000
151.000000 0.000331 -0.000327 0.259022 99.733257 2.965070 390.815000
152.000000 0.000342 -0.000296 0.257573 100.297003 2.965750 392.252000
153.000000 0.000359 -0.000256 0.256557 100.632556 2.965520 388.027000
154.000000 0.000361 -0.000233 0.250846 101.289619 2.966190 391.616000
155.000000 0.000365 -0.000184 0.246864 102.185952 2.963940 392.564000
156.000000 0.000352 -0.000181 0.249075 103.169712 2.969170 391.665000
157.000000 0.000343 -0.000195 0.249092 103.422055 2.969330 392.274000
158.000000 0.000332 -0.000188 0.249710 104.333795 2.968740 393.535000
159.000000 0.000321 -0.000180 0.247443 105.154020 2.968520 391.074000
160.000000 0.000333 -0.000222 0.249716 103.415465 2.970510 393.638000
161.000000 0.000345 -0.000262 0.250175 101.390999 2.967130 390.109000
162.000000 0.000333 -0.000263 0.249718 102.183977 2.972270 394.255000
163.000000 0.000312 -0.000283 0.253238 103.071109 2.973400 396.074000
164.000000 0.000334 -0.000293 0.256144 100.988794 2.975540 395.991000
165.000000 0.000336 -0.000287 0.255951 101.102237 2.977440 393.186000
166.000000 0.000373 -0.000285 0.262854 98.484249 2.970780 393.715000
167.000000 0.000408 -0.000277 0.267128 95.234828 2.968350 393.406000
168.000000 0.000409 -0.000253 0.264589 96.067404 2.969990 395.824000
169.000000 0.000411 -0.000201 0.269243 97.158197 2.968440 392.370000
170.000000 0.000420 -0.000166 0.270449 96.267514 2.970350 397.534000
171.000000 0.000423 -0.000162 0.266489 95.805926 2.972390 401.060000
172.000000 0.000456 -0.000152 0.267058 90.735002 2.962620 395.211000
173.000000 0.000461 -0.000135 0.270397 89.707685 2.963100 391.669000
174.000000 0.000448 -0.000139 0.273065 91.775420 2.961360 393.712000
175.000000 0.000443 -0.000157 0.277418 92.667161 2.959490 395.414000
176.000000 0.000437 -0.000190 0.278229 93.517372 2.958940 395.781000
177.000000 0.000429 -0.000233 0.276663 93.838719 2.957480 393.875000
178.000000 0.000409 -0.000246 0.283457 96.270606 2.957870 395.901000
179.000000 0.000398 -0.000274 0.286672 96.559628 2.963280 395.172000
180.000000 0.000405 -0.000260 0.283065 96.264417 2.954600 396.282000
181.000000 0.000370 -0.000252 0.284636 100.035726 2.965020 400.672000
182.000000 0.000364 -0.000251 0.283652 100.503003 2.962230 398.969000
183.000000 0.000374 -0.000249 0.280749 99.817636 2.962220 396.354000
184.000000 0.000376 -0.000281 0.282351 98.422568 2.960630 395.609000
185.000000 0.000361 -0.000284 0.282080 99.472347 2.961030 397.629000
186.000000 0.000352 -0.000312 0.279803 98.821000 2.964280 397.572000
187.000000 0.000356 -0.000291 0.279245 99.499279 2.959650 395.349000
188.000000 0.000323 -0.000292 0.279143 101.888936 2.961720 398.126000
189.000000 0.000311 -0.000288 0.275926 102.996632 2.960570 404.069000
190.000000 0.000276 -0.000269 0.276288 106.263177 2.963490 400.319000
191.000000 0.000275 -0.000221 0.276691 107.515705 2.966220 402.949000
192.000000 0.000285 -0.000169 0.273193 107.753283 2.963790 402.041000
193.000000 0.000272 -0.000143 0.273610 108.890402 2.966850 403.328000
194.000000 0.000277 -0.000127 0.270090 108.789097 2.960210 397.685000
195.000000 0.000320 -0.000169 0.269799 105.479982 2.958610 401.061000
196.000000 0.000341 -0.000165 0.271216 104.241797 2.958250 401.050000
197.000000 0.000340 -0.000165 0.268819 104.274127 2.965350 398.993000
